olt,onu_id,consumo_total,horas_activas,ratio_up_down,estado,es_revendedor
OLT VSOL COLONIAS,GPON06ONU68,156.28,91,0.3398491083676269,NORMAL,1
OLT VSOL FLOR A,GPON05ONU26,155.05,111,0.2836327510555509,NORMAL,1
OLT VSOL FLOR A,GPON06ONU49,154.16,106,0.12197962154294033,NORMAL,1
OLT VSOL COLONIAS,GPON07ONU39,153.35999999999999,91,0.1270669508341295,NORMAL,1
OLT VSOL FLOR A,GPON04ONU71,151.38,110,0.039126853377265236,NORMAL,1
OLT VSOL CARAQUITA,GPON02ONU45,150.52,86,0.5271915584415584,NORMAL,1
OLT VSOL COLONIAS,GPON08ONU62,150.32999999999998,91,0.32835557126446935,NORMAL,1
OLT VSOL COLONIAS,GPON05ONU3,148.75,91,0.26509610477972445,NORMAL,1
OLT VSOL FLOR A,GPON06ONU35,148.72,107,0.20080742834073478,NORMAL,1
OLT VSOL FLOR A,GPON06ONU52,148.54,107,0.21544881760903362,NORMAL,1
OLT VSOL FLOR A,GPON04ONU83,148.45000000000002,111,0.04593813851898823,NORMAL,1
OLT VSOL COLONIAS,GPON07ONU34,147.22,91,0.24026958719460825,NORMAL,1
OLT VSOL FLOR A,GPON04ONU89,145.94,109,0.6168845557278971,CRITICO,-1
OLT VSOL FLOR A,GPON06ONU3,144.8,110,0.16755362038380908,NORMAL,1
OLT VSOL FLOR A,GPON04ONU77,144.72,113,0.21266968325791855,NORMAL,1
OLT VSOL FLOR A,GPON04ONU70,142.79000000000002,109,0.18380036478195988,NORMAL,1
OLT VSOL COLONIAS,GPON07ONU59,140.91,91,0.5717791411042944,NORMAL,1
OLT VSOL COLONIAS,GPON02ONU38,140.56,91,0.04950347196296573,NORMAL,1
OLT VSOL CARAQUITA,GPON06ONU11,140.2,59,0.8420706871633163,CRITICO,-1
OLT VSOL COLONIAS,GPON07ONU21,139.75,81,0.42587491072339556,NORMAL,1
OLT VSOL FLOR A,GPON05ONU36,139.25,109,0.2720380012788892,NORMAL,1
OLT VSOL COLONIAS,GPON03ONU17,138.95999999999998,91,0.29784253292238727,NORMAL,1
OLT VSOL COLONIAS,GPON03ONU14,138.24,91,0.23395519057395342,NORMAL,1
OLT VSOL FLOR A,GPON05ONU59,138.23000000000002,109,0.10038210476038846,NORMAL,1
OLT VSOL COLONIAS,GPON02ONU83,138.02,91,0.05568303503135995,NORMAL,1
OLT VSOL FLOR A,GPON03ONU52,137.86,107,0.27118487782388195,NORMAL,1
OLT VSOL FLOR A,GPON06ONU38,137.52,103,0.5479513732552904,NORMAL,1
OLT VSOL COLONIAS,GPON01ONU39,137.04,11,0.25909592061742004,CRITICO,-1
OLT VSOL COLONIAS,GPON01ONU116,136.91,88,0.16578678474114442,NORMAL,1
OLT VSOL CARAQUITA,GPON06ONU21,136.51000000000002,88,0.06606794221007418,NORMAL,1
OLT VSOL FLOR A,GPON03ONU77,136.07,113,0.3429727595736281,NORMAL,1
OLT VSOL COLONIAS,GPON06ONU70,136.02,91,0.3440711462450593,NORMAL,1
OLT VSOL FLOR A,GPON05ONU14,135.47,106,0.0875883108542068,NORMAL,1
OLT VSOL COLONIAS,GPON02ONU71,135.41,91,0.07562157439034077,NORMAL,1
OLT VSOL COLONIAS,GPON01ONU42,134.64,91,0.16682554814108674,NORMAL,1
OLT VSOL COLONIAS,GPON02ONU91,134.2,72,0.046883532256806304,NORMAL,1
OLT VSOL COLONIAS,GPON04ONU35,134.15,112,0.061397262441648864,NORMAL,1
OLT VSOL FLOR A,GPON03ONU44,133.92000000000002,111,0.2675816374822527,NORMAL,1
OLT VSOL FLOR A,GPON05ONU41,133.48,113,0.14653839546469677,NORMAL,1
OLT VSOL COLONIAS,GPON05ONU126,133.31,91,0.4498096791734638,NORMAL,1
OLT VSOL COLONIAS,GPON05ONU56,133.28,102,0.19780713579581202,NORMAL,1
OLT VSOL COLONIAS,GPON08ONU14,132.94,91,0.2696017572342661,NORMAL,1
OLT VSOL FLOR A,GPON05ONU79,132.82,111,0.04156210790464241,NORMAL,1
OLT VSOL COLONIAS,GPON08ONU102,132.75,91,0.2850919651500484,NORMAL,1
OLT VSOL COLONIAS,GPON04ONU58,131.78,91,0.15667515140875976,NORMAL,1
